member_id,generation,birthday,school1,major1_1,major1_2,major1_3,school2,major2,job,job_domain,company,major_data,class1,class2,class3,class4,marketing_agree,contents_agree,before_id,withdrawal
2024080001,8,20031224,연세대학교 본교,IT(컴퓨터 공학 포함),,,,,대학생,,,FALSE,4,,,,TRUE,TRUE,,FALSE
2024080002,8,20031224,숙명여자대학교,IT(컴퓨터 공학 포함),IT(컴퓨터 공학 포함),,,,대학생,,,FALSE,4,,,,TRUE,TRUE,,FALSE
2024080003,8,20030226,이화여자대학교,IT(컴퓨터 공학 포함),,,,,대학생,,,TRUE,4,,,,TRUE,TRUE,,FALSE
2024080004,8,20020523,덕성여자대학교,IT(컴퓨터 공학 포함),,,,,대학생,,,TRUE,7,,,,TRUE,TRUE,,FALSE
2024080005,8,19980506,숙명여자대학교,IT(컴퓨터 공학 포함),IT(컴퓨터 공학 포함),,,,대학생,,,FALSE,7,,,,TRUE,TRUE,,FALSE
2024080006,8,20030329,경기대학교 제1캠퍼스,IT(컴퓨터 공학 포함),,,,,대학생,,,FALSE,4,,,,TRUE,TRUE,2023070008,FALSE
2024080007,8,20011019,중앙대학교 제1캠퍼스,의약학,인문학,,,,대학생,,,FALSE,2,5,,,TRUE,TRUE,,FALSE
2024080008,8,19940725,대구교육대학교,교육학,,,,,대학생,,,FALSE,4,6,,,TRUE,TRUE,,FALSE
2024080009,8,20001004,경희대학교,사회과학,경영학,,,,대학생,,,FALSE,4,,,,TRUE,TRUE,,FALSE
2024080010,8,20020114,이화여자대학교,IT(컴퓨터 공학 포함),,,,,대학생,,,TRUE,6,,,,TRUE,TRUE,,FALSE
2024080011,8,20021005,인하대학교,IT(컴퓨터 공학 포함),,,,,대학생,,,FALSE,6,,,,TRUE,TRUE,,FALSE
2024080012,8,20000201,중앙대학교 제1캠퍼스,사회과학,IT(컴퓨터 공학 포함),,,,취준생,,,FALSE,1,9,,,TRUE,TRUE,,FALSE
2024080013,8,20031102,고려대학교 본교,사회과학,자연과학,,,,대학생,,,FALSE,4,,,,TRUE,TRUE,,FALSE
2024080014,8,20020424,단국대학교 제1캠퍼스,IT(컴퓨터 공학 포함),,,,,대학생,,,FALSE,2,,,,TRUE,TRUE,,FALSE
2024080015,8,20010520,서울시립대학교,자연과학,,,,,대학생,,,TRUE,1,,,,TRUE,TRUE,2023070013,FALSE
2024080016,8,20010924,숙명여자대학교,IT(컴퓨터 공학 포함),IT(컴퓨터 공학 포함),,,,대학생,,,FALSE,1,5,,,TRUE,TRUE,,FALSE
2024080017,8,19991119,한국외국어대학교,인문학,IT(컴퓨터 공학 포함),,,,대학생,,,FALSE,8,,,,TRUE,TRUE,2023070015,FALSE
2024080018,8,20030804,성신여자대학교,IT(컴퓨터 공학 포함),,,,,대학생,,,TRUE,4,,,,TRUE,TRUE,,FALSE
2024080019,8,20020716,한국외국어대학교,경영학,IT(컴퓨터 공학 포함),,,,대학생,,,FALSE,7,8,,,TRUE,TRUE,,FALSE
2024080020,8,20011106,동국대학교 본교,자연과학,IT(컴퓨터 공학 포함),,,,대학생,,,TRUE,4,,,,TRUE,TRUE,,FALSE
2024080021,8,20030810,서울여자대학교,의약학,의약학,,,,대학생,,,FALSE,1,,,,TRUE,TRUE,,FALSE
